coord_key	n_samples	country	state	municipality	town	type	class	display_name
54.8123,9.3524		Danmark	Region Syddanmark	Aabenraa Kommune	Padborg	village	place	Padborg, Aabenraa Kommune, Region Syddanmark, 6330, Danmark
54.8139,9.3526		Danmark	Region Syddanmark	Aabenraa Kommune	Padborg	village	place	Padborg, Aabenraa Kommune, Region Syddanmark, 6330, Danmark
54.8168,15.3206								
54.8215,9.3891		Deutschland	Schleswig-Holstein		Harrislee	isolated_dwelling	place	Himmern, Klueshof, Niehuus, Harrislee, Kreis Schleswig-Flensburg, Schleswig-Holstein, 24955, Deutschland
54.8216,9.3697		Danmark	Region Syddanmark	Aabenraa Kommune	Padborg	hamlet	place	Rønsdam, Padborg, Aabenraa Kommune, Region Syddanmark, 6330, Danmark
54.8228,9.3721		Danmark	Region Syddanmark	Aabenraa Kommune	Padborg	hamlet	place	Rønsdam, Padborg, Aabenraa Kommune, Region Syddanmark, 6330, Danmark
54.8237,11.1272		Danmark	Region Sjælland	Lolland Kommune	Nakskov	suburb	place	Færgeland, Nakskov, Lolland Kommune, Region Sjælland, 4900, Danmark
54.8254,9.3465		Danmark	Region Syddanmark	Aabenraa Kommune	Padborg	village	place	Padborg, Aabenraa Kommune, Region Syddanmark, 6330, Danmark
54.8255,9.3491		Danmark	Region Syddanmark	Aabenraa Kommune	Padborg	village	place	Padborg, Aabenraa Kommune, Region Syddanmark, 6330, Danmark
54.8257,9.3447		Danmark	Region Syddanmark	Aabenraa Kommune	Padborg	village	place	Padborg, Aabenraa Kommune, Region Syddanmark, 6330, Danmark
54.8257,9.3494		Danmark	Region Syddanmark	Aabenraa Kommune	Padborg	village	place	Padborg, Aabenraa Kommune, Region Syddanmark, 6330, Danmark
54.8258,11.1213		Danmark	Region Sjælland	Lolland Kommune	Nakskov	suburb	place	Rosnæs, Nakskov, Lolland Kommune, Region Sjælland, 4900, Danmark
54.8264,9.3501		Danmark	Region Syddanmark	Aabenraa Kommune	Padborg	village	place	Padborg, Aabenraa Kommune, Region Syddanmark, 6330, Danmark
