envo_curie	envo_label	anchor_roots
ENVO:00004683	karst field	astronomical body part
ENVO:00005745	allotment garden	astronomical body part
ENVO:00005801	rhizosphere	astronomical body part
ENVO:00009686	ice rise	astronomical body part
ENVO:00009726	strand crack	astronomical body part
ENVO:00010442	midden	astronomical body part
ENVO:00010624	botanical garden	astronomical body part
ENVO:00010625	zoological garden	astronomical body part
ENVO:00011764	ocean time series station	astronomical body part
ENVO:00012411	karst cave	astronomical body part
ENVO:0010162	dry stream valley	astronomical body part
ENVO:0010163	dry river valley	astronomical body part
ENVO:01000002	water well	astronomical body part
ENVO:01000003	oil well	astronomical body part
ENVO:01000005	upwelling	astronomical body part
ENVO:01000006	coastal upwelling	astronomical body part
ENVO:01000019	cave floor	astronomical body part
ENVO:01000057	marine algal bloom	astronomical body part
ENVO:01000058	kelp forest	astronomical body part
ENVO:01000059	sea grass bed	astronomical body part
ENVO:01000061	marine wind mixed layer	astronomical body part
ENVO:01000062	marine benthic storm	astronomical body part
ENVO:01000064	marine downwelling	astronomical body part
ENVO:01000065	marine oxygen minimum zone	astronomical body part
ENVO:01000066	marine anoxic zone	astronomical body part
ENVO:01000067	marine current	astronomical body part
ENVO:01000068	marine streamer	astronomical body part
ENVO:01000069	mesoscale marine eddy	astronomical body part
ENVO:01000072	marine Taylor column	astronomical body part
ENVO:01000073	marine oligotrophic desert	astronomical body part
ENVO:01000074	oceanic gyre	astronomical body part
ENVO:01000075	marine thermocline	astronomical body part
ENVO:01000076	marine chemocline	astronomical body part
ENVO:01000077	marine pycnocline	astronomical body part
ENVO:01000078	marine nutricline	astronomical body part
ENVO:01000080	pelagic isothermal surface	astronomical body part
ENVO:01000081	pelagic isohaline surface	astronomical body part
ENVO:01000083	pelagic isopycnal surface	astronomical body part
ENVO:01000098	deep ocean current	astronomical body part
ENVO:01000099	marine surface current	astronomical body part
ENVO:01000100	along-front current	astronomical body part
ENVO:01000101	warm surface current	astronomical body part
ENVO:01000102	cold surface current	astronomical body part
ENVO:01000103	western boundary current	astronomical body part
ENVO:01000104	eastern boundary current	astronomical body part
ENVO:01000106	permanent marine thermocline	astronomical body part
ENVO:01000107	seasonal marine thermocline	astronomical body part
ENVO:01000108	marine cold-water sphere	astronomical body part
ENVO:01000109	marine warm-water sphere	astronomical body part
ENVO:01000122	marine hydrothermal vent	astronomical body part
ENVO:01000124	marine supra-littoral zone	astronomical body part
ENVO:01000125	marine littoral zone	astronomical body part
ENVO:01000126	marine sub-littoral zone	astronomical body part
ENVO:01000129	marine hydrothermal vent chimney	astronomical body part
ENVO:01000130	marine hydrothermal plume	astronomical body part
ENVO:01000136	drop stone	astronomical body part
ENVO:01000143	marine reef	astronomical body part
ENVO:01000144	marine coral reef flat zone	astronomical body part
ENVO:01000145	marine coral reef back reef	astronomical body part
ENVO:01000146	marine coral reef crest	astronomical body part
ENVO:01000147	marine coral reef fore reef	astronomical body part
ENVO:01000148	marine coral reef buttress zone	astronomical body part
ENVO:01000149	marine coral reef deep fore reef	astronomical body part
ENVO:01000150	marine subtidal rocky reef	astronomical body part
ENVO:01000160	marine pockmark	astronomical body part
ENVO:01000161	marine sponge reef	astronomical body part
ENVO:01000237	coastal scrubland	astronomical body part|environmental zone
ENVO:01000239	oak woodland	astronomical body part|terrestrial ecosystem
ENVO:01000240	conifer woodland	astronomical body part|terrestrial ecosystem
