fieldsample_barcode	mfd_sampletype	mfd_areatype	mfd_hab1	mfd_hab2	mfd_hab3	habitat_type	source_signal	source_code	source_project	source_file	latitude	longitude
MFD00127	Soil	Natural	Forests	Temperate forests	Beech forests Asperulo-Fagetum		natura2000	9130	P08_1	P08_1_filled_table.xlsx		
MFD00128	Soil	Natural	Forests	Temperate forests	Bog woodland		natura2000	91D0	P08_1	P08_1_filled_table.xlsx		
MFD00129	Soil	Natural	Forests	Temperate forests	Bog woodland		natura2000	91D0	P08_1	P08_1_filled_table.xlsx		
MFD00130	Soil	Natural	Grassland formations	Semi-natural dry grasslands	Species-rich Nardus upland grassland		natura2000	6230	P08_1	P08_1_filled_table.xlsx		
MFD00131	Soil	Natural	Coastal	Salt marshes and salt meadows	Atlantic salt meadows		natura2000	1330	P08_1	P08_1_filled_table.xlsx		
MFD00132	Soil	Natural	Dunes	Sea dunes	Decalcified Empetrum dunes		natura2000	2140	P08_1	P08_1_filled_table.xlsx		
MFD00133	Soil	Natural	Dunes	Sea dunes	Fixed dunes (grey dunes)		natura2000	2130	P08_1	P08_1_filled_table.xlsx		
MFD00134	Soil	Natural	Dunes	Sea dunes	Humid dune slacks		natura2000	2190	P08_1	P08_1_filled_table.xlsx		
MFD00135	Soil	Natural	Dunes	Sea dunes	Humid dune slacks		natura2000	2190	P08_1	P08_1_filled_table.xlsx		
MFD00136	Soil	Natural	Dunes	Sea dunes	Decalcified Empetrum dunes		natura2000	2140	P08_1	P08_1_filled_table.xlsx		
MFD00137	Soil	Natural	Dunes	Sea dunes	Decalcified Empetrum dunes		natura2000	2140	P08_1	P08_1_filled_table.xlsx		
MFD00138	Soil	Natural	Coastal	Salt marshes and salt meadows	Atlantic salt meadows		natura2000	1330	P08_1	P08_1_filled_table.xlsx		
MFD00141	Soil	Natural	Dunes	Sea dunes	Embryonic shifting dunes		natura2000	2110	P08_1	P08_1_filled_table.xlsx		
MFD00142	Soil	Natural	Temperate heath and scrub	Temperate heath	Dry heath		natura2000	4030	P08_1	P08_1_filled_table.xlsx		
MFD00143	Soil	Natural	Dunes	Sea dunes	Humid dune slacks		natura2000	2190	P08_1	P08_1_filled_table.xlsx		
MFD00144	Soil	Natural	Forests	Temperate forests	Old acidophilous oak woods with Q. robur on sandy plains		natura2000	9190	P08_1	P08_1_filled_table.xlsx		
MFD00145	Soil	Natural	Forests	Temperate forests	Old acidophilous oak woods with Q. robur on sandy plains		natura2000	9190	P08_1	P08_1_filled_table.xlsx		
MFD00146	Soil	Natural	Coastal	Salt marshes and salt meadows	Atlantic salt meadows		natura2000	1330	P08_1	P08_1_filled_table.xlsx		
MFD00147	Soil	Natural	Grassland formations	Semi-natural dry grasslands	Species-rich Nardus upland grassland		natura2000	6230	P08_1	P08_1_filled_table.xlsx		
MFD00148	Soil	Natural	Dunes	Sea dunes	Humid dune slacks		natura2000	2190	P08_1	P08_1_filled_table.xlsx		
MFD00149	Soil	Natural	Temperate heath and scrub	Temperate heath	Dry heath		natura2000	4030	P08_1	P08_1_filled_table.xlsx		
MFD00150	Soil	Natural	Dunes	Sea dunes	Humid dune slacks		natura2000	2190	P08_1	P08_1_filled_table.xlsx		
MFD00151	Soil	Natural	Dunes	Sea dunes	Decalcified Empetrum dunes		natura2000	2140	P08_1	P08_1_filled_table.xlsx		
MFD00152	Soil	Natural	Dunes	Sea dunes	Humid dune slacks		natura2000	2190	P08_1	P08_1_filled_table.xlsx		
MFD00153	Soil	Natural	Dunes	Sea dunes	Humid dune slacks		natura2000	2190	P08_1	P08_1_filled_table.xlsx		
MFD00154	Soil	Natural	Dunes	Sea dunes	Humid dune slacks		natura2000	2190	P08_1	P08_1_filled_table.xlsx		
MFD00155	Soil	Natural	Dunes	Sea dunes	Humid dune slacks		natura2000	2190	P08_1	P08_1_filled_table.xlsx		
MFD00156	Soil	Natural	Dunes	Sea dunes	Decalcified Empetrum dunes		natura2000	2140	P08_1	P08_1_filled_table.xlsx		
MFD00157	Soil	Natural	Coastal	Salt marshes and salt meadows	Atlantic salt meadows		natura2000	1330	P08_1	P08_1_filled_table.xlsx		
MFD00158	Soil	Natural	Dunes	Sea dunes	Decalcified Empetrum dunes		natura2000	2140	P08_1	P08_1_filled_table.xlsx		
MFD00159	Soil	Natural	Dunes	Sea dunes	Decalcified Empetrum dunes		natura2000	2140	P08_1	P08_1_filled_table.xlsx		
MFD00161	Soil	Natural	Dunes	Sea dunes	Humid dune slacks		natura2000	2190	P08_1	P08_1_filled_table.xlsx		
MFD00162	Soil	Natural	Grassland formations	Semi-natural dry grasslands	Species-rich Nardus upland grassland		natura2000	6230	P08_1	P08_1_filled_table.xlsx		
MFD00163	Soil	Natural	Dunes	Sea dunes	Decalcified Empetrum dunes		natura2000	2140	P08_1	P08_1_filled_table.xlsx		
MFD00164	Soil	Natural	Coastal	Salt marshes and salt meadows	Atlantic salt meadows		natura2000	1330	P08_1	P08_1_filled_table.xlsx		
MFD00165	Soil	Natural	Coastal	Salt marshes and salt meadows	Atlantic salt meadows		natura2000	1330	P08_1	P08_1_filled_table.xlsx		
MFD00166	Soil	Natural	Coastal	Salt marshes and salt meadows	Atlantic salt meadows		natura2000	1330	P08_1	P08_1_filled_table.xlsx		
MFD00198	Sediment	Natural	Freshwater	Running freshwater		streams	standard		P10_2	P10_2_filled_table.xlsx	56.8255	9.8112
MFD00199	Sediment	Natural	Freshwater	Running freshwater		streams	standard		P10_2	P10_2_filled_table.xlsx	56.5964	10.0426
MFD00200	Sediment	Natural	Freshwater	Running freshwater		streams	standard		P10_2	P10_2_filled_table.xlsx	56.4786	10.4122
MFD00201	Sediment	Natural	Freshwater	Running freshwater		streams	standard		P10_2	P10_2_filled_table.xlsx	56.3694	9.8979
MFD00202	Sediment	Natural	Freshwater	Running freshwater		streams	standard		P10_2	P10_2_filled_table.xlsx	56.1275934	10.1386592
MFD00203	Sediment	Natural	Freshwater	Running freshwater		streams	standard		P10_2	P10_2_filled_table.xlsx	56.6380187	9.8242309
MFD00204	Sediment	Natural	Freshwater	Running freshwater		streams	standard		P10_2	P10_2_filled_table.xlsx	56.6939891	9.4413264
MFD00205	Sediment	Natural	Freshwater	Running freshwater		streams	standard		P10_2	P10_2_filled_table.xlsx	56.894572	9.1699704
MFD00206	Sediment	Natural	Freshwater	Running freshwater		streams	standard		P10_2	P10_2_filled_table.xlsx	56.3848136	10.3733582
MFD00207	Sediment	Natural	Freshwater	Running freshwater		streams	standard		P10_2	P10_2_filled_table.xlsx	56.2123183	10.2427226
MFD00208	Sediment	Natural	Freshwater	Running freshwater		streams	standard		P10_2	P10_2_filled_table.xlsx	56.4775128	10.1457771
MFD00209	Sediment	Natural	Freshwater	Running freshwater		streams	standard		P10_2	P10_2_filled_table.xlsx	56.8989608	10.0722806
MFD00210	Sediment	Natural	Freshwater	Running freshwater		streams	standard		P10_2	P10_2_filled_table.xlsx	56.4585541	10.0823053
MFD00211	Sediment	Natural	Freshwater	Running freshwater		streams	standard		P10_2	P10_2_filled_table.xlsx	56.2116558	10.2407541
MFD00212	Sediment	Natural	Freshwater	Running freshwater		streams	standard		P10_2	P10_2_filled_table.xlsx	56.5326801	10.2769338
MFD00215	Sediment	Natural	Freshwater	Running freshwater		streams	standard		P10_2	P10_2_filled_table.xlsx	56.899703	9.867686
MFD00216	Sediment	Natural	Freshwater	Running freshwater		streams	standard		P10_2	P10_2_filled_table.xlsx	56.906323	9.9412071
